title,released,distributor,genre,rating,gross,tickets,imdb_id
Mr. Peabody & Sherman,2014-03-07,20th Century Fox,Adventure,PG,111506430,13648277,tt0864835
300: Rise of an Empire,2014-03-07,Warner Bros.,Action,R,106580051,13045293,tt1253863
Frozen,2013-11-22,Walt Disney,Adventure,PG,104046280,12735162,tt2294629
The Maze Runner,2014-09-19,20th Century Fox,Thriller/Suspense,PG-13,102242014,12514322,tt1790864
The Equalizer,2014-09-26,Sony Pictures,Action,R,101436176,12415688,tt0455944
Noah,2014-03-28,Paramount Pictures,Drama,PG-13,101200044,12386786,tt1959490
Edge of Tomorrow,2014-06-06,Warner Bros.,Action,PG-13,100206256,12265147,tt1631867
Non-Stop,2014-02-28,Universal,Action,PG-13,91742160,11229150,tt2024469
Heaven is for Real,2014-04-16,Sony Pictures,Drama,PG,91386097,11185568,tt1929263
Into the Woods,2014-12-25,Walt Disney,Musical,PG,90871655,11122601,tt2180411
Night at the Museum: Secret of the Tomb,2014-12-19,20th Century Fox,Adventure,PG,89847179,10997206,tt2692250
Unbroken,2014-12-25,Universal,Drama,PG-13,87651495,10728457,tt1809398
Fury,2014-10-17,Sony Pictures,Drama,R,85509098,10466229,tt2713180
Dumb and Dumber To,2014-11-14,Universal,Comedy,PG-13,85392580,10451968,tt2096672
Tammy,2014-07-02,Warner Bros.,Comedy,R,84525432,10345830,tt2103254
Annabelle,2014-10-03,Warner Bros.,Horror,R,84273813,10315032,tt3322940
The Other Woman,2014-04-25,20th Century Fox,Comedy,PG-13,83911193,10270647,tt2203939
Let's Be Cops,2014-08-13,20th Century Fox,Comedy,R,82390774,10084550,tt1924435
Penguins of Madagascar,2014-11-26,20th Century Fox,Comedy,PG,78116780,9561417,tt1911658
The Monuments Men,2014-02-07,Sony Pictures,Drama,PG-13,78031620,9550993,tt2177771
Hercules,2014-07-25,Paramount Pictures,Action,PG-13,72688614,8897015,tt0119282
Annie,2014-12-19,Sony Pictures,Musical,PG,72460370,8869078,tt0083564
The Purge: Anarchy,2014-07-18,Universal,Thriller/Suspense,R,71562550,8759186,tt2975578
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-10,Walt Disney,Comedy,PG,66032663,8082333,tt1698641
Think Like a Man Too,2014-06-20,Sony Pictures,Romantic Comedy,PG-13,65028687,7959447,tt2239832
The Nut Job,2014-01-17,Open Road,Adventure,PG,64251538,7864325,tt1821658
American Hustle,2013-12-13,Sony Pictures,Black Comedy,R,62194684,7612568,tt1800241
Exodus: Gods and Kings,2014-12-12,20th Century Fox,Drama,PG-13,61342935,7508315,tt1528100
God's Not Dead,2014-03-21,Pure Flix Entertainment,Drama,PG,60755732,7436442,tt2528814
Son of God,2014-02-28,20th Century Fox,Drama,PG-13,59700064,7307229,tt3210686
Planes: Fire and Rescue,2014-07-18,Walt Disney,Adventure,PG,59157732,7240848,
The Grand Budapest Hotel,2014-03-07,Fox Searchlight,Comedy,R,59076019,7230846,tt2278388
RoboCop,2014-02-12,Sony Pictures,Action,PG-13,58607007,7173440,tt1234721
Dracula Untold,2014-10-10,Universal,Action,PG-13,55991880,6853351,tt0829150
The Hundred-Foot Journey,2014-08-08,Walt Disney,Romantic Comedy,PG,54235441,6638364,tt2980648
The Wolf of Wall Street,2013-12-25,Paramount Pictures,Black Comedy,R,53775227,6582035,tt0993846
Horrible Bosses 2,2014-11-26,Warner Bros.,Comedy,R,53063469,6494916,tt2170439
No Good Deed,2014-09-12,Sony Pictures,Thriller/Suspense,PG-13,52543632,6431289,tt2011159
Muppets Most Wanted,2014-03-21,Walt Disney,Comedy,PG,51178893,6264246,tt2281587
Ouija,2014-10-24,Universal,Horror,PG-13,50856010,6224725,tt1204977
The Boxtrolls,2014-09-26,Focus Features,Adventure,PG,50618671,6195675,tt0787474
Jack Ryan: Shadow Recruit,2014-01-17,Paramount Pictures,Action,PG-13,50577412,6190625,tt1205537
If I Stay,2014-08-22,Warner Bros.,Drama,PG-13,50474843,6178071,tt1355630
The Book of Life,2014-10-17,20th Century Fox,Adventure,PG,49564131,6066601,tt2262227
About Last Night,2014-02-14,Sony Pictures,Romantic Comedy,R,48637684,5953204,tt1826590
Into the Storm,2014-08-08,Warner Bros.,Thriller/Suspense,PG-13,47602194,5826461,tt2106361
The Judge,2014-10-10,Warner Bros.,Drama,R,47063106,5760478,tt1872194
Jersey Boys,2014-06-20,Warner Bros.,Drama,R,47047013,5758508,tt1742044
Blended,2014-05-23,Warner Bros.,Romantic Comedy,PG-13,46290741,5665941,tt1086772
The Giver,2014-08-15,Weinstein Co.,Drama,PG-13,45090374,5519017,tt0435651
Need for Speed,2014-03-14,Walt Disney,Action,PG-13,43568507,5332742,tt2369135
St. Vincent,2014-10-10,Weinstein Co.,Comedy,PG-13,43478246,5321694,tt2170593
John Wick,2014-10-24,Lionsgate,Action,R,42925323,5254017,tt2911666
A Million Ways to Die in The West,2014-05-30,Universal,Comedy,R,42720965,5229004,tt2557490
Dolphin Tale 2,2014-09-12,Warner Bros.,Drama,PG,42024533,5143761,tt2978462
The Expendables 3,2014-08-15,Lionsgate,Action,PG-13,39322544,4813040,tt2333784
Earth to Echo,2014-07-02,Relativity,Adventure,PG,38934842,4765586,tt2183034
Sex Tape,2014-07-18,Sony Pictures,Comedy,R,38543473,4717683,tt2140383
August: Osage County,2013-12-25,Weinstein Co.,Black Comedy,R,37257126,4560235,tt1322269
Million Dollar Arm,2014-05-16,Walt Disney,Drama,PG,36447959,4461194,tt1647668
This is Where I Leave You,2014-09-19,Warner Bros.,Comedy,R,34296320,4197835,tt1371150
Nightcrawler,2014-10-31,Open Road,Thriller/Suspense,R,31983186,3914710,tt2872718
Chef,2014-05-09,Open Road,Comedy,R,31424003,3846267,tt2883512
3 Days to Kill,2014-02-21,Relativity,Thriller/Suspense,PG-13,30697999,3757405,tt2172934
Deliver Us from Evil,2014-07-02,Sony Pictures,Horror,R,30577122,3742609,tt2377322
Get on Up,2014-08-01,Universal,Drama,PG-13,30569935,3741730,tt2473602
The Imitation Game,2014-11-28,Weinstein Co.,Drama,PG-13,30472090,3729753,tt2084970
When the Game Stands Tall,2014-08-22,Sony Pictures,Drama,PG,30127963,3687633,tt2247476
The Hobbit: The Desolation of Smaug,2013-12-13,Warner Bros.,Adventure,PG-13,29307213,3587174,tt1170358
Draft Day,2014-04-11,Lionsgate,Drama,PG-13,28842237,3530261,tt2223990
Oculus,2014-04-11,Relativity,Horror,R,27695246,3389870,tt2388715
The Gambler,2014-12-10,Paramount Pictures,Drama,R,27606266,3378979,tt2039393
The Best of Me,2014-10-17,Relativity,Drama,PG-13,26739759,3272920,tt1972779
That Awkward Moment,2014-01-31,FilmDistrict,Romantic Comedy,R,26068955,3190814,tt1800246
A Walk Among the Tombstones,2014-09-19,Universal,Action,R,26017685,3184539,tt0365907
Wild,2014-12-03,Fox Searchlight,Drama,R,25880904,3167797,tt2305051
Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,Fox Searchlight,Black Comedy,R,25424568,3111942,tt2562232
The November Man,2014-08-27,Relativity,Thriller/Suspense,R,25018119,3062193,tt2402157
The Theory of Everything,2014-11-07,Focus Features,Drama,PG-13,24772350,3032111,tt2980516
Saving Mr. Banks,2013-12-20,Walt Disney,Drama,PG-13,24341481,2979373,tt2140373
Boyhood,2014-07-11,IFC Films,Drama,R,24299768,2974267,tt1065073
Top Five,2014-12-12,Paramount Pictures,Comedy,R,23740325,2905792,tt2784678
Endless Love,2014-02-14,Universal,Drama,PG-13,23438250,2868818,tt2318092
Pompeii,2014-02-21,Sony Pictures,Drama,PG-13,23169033,2835866,tt1921064
Transcendence,2014-04-18,Warner Bros.,Thriller/Suspense,PG-13,23022309,2817908,tt2209764
Her,2013-12-18,Warner Bros.,Drama,R,22580510,2763832,tt1798709
Ghostbusters,1984-06-08,Sony Pictures,Comedy,PG,21356969,2614072,tt0087332
"As Above, So Below",2014-08-29,Universal,Thriller/Suspense,R,21222315,2597590,tt2870612
Brick Mansions,2014-04-25,Relativity,Action,PG-13,20396829,2496551,tt1430612
"I, Frankenstein",2014-01-24,Lionsgate,Action,PG-13,19075290,2334796,tt1418377
The Legend of Hercules,2014-01-10,Lionsgate,Adventure,PG-13,18848538,2307042,tt1043726
Anchorman 2: The Legend Continues,2013-12-18,Paramount Pictures,Comedy,PG-13,18639235,2281424,tt1229340
Gravity,2013-10-04,Warner Bros.,Thriller/Suspense,PG-13,18471038,2260836,tt1454468
12 Years a Slave,2013-10-18,Fox Searchlight,Drama,R,18199907,2227650,tt2024544
Philomena,2013-11-22,Weinstein Co.,Drama,PG-13,18123668,2218319,tt2431286
Bears,2014-04-18,Walt Disney,Documentary,G,17780194,2176278,tt2458776
The Hunger Games: Catching Fire,2013-11-22,Lionsgate,Adventure,PG-13,17528348,2145452,tt1951264
Addicted,2014-10-10,Lionsgate,Drama,R,17390770,2128613,tt2205401
A Haunted House 2,2014-04-18,Open Road,Comedy,R,17329487,2121112,tt2828996
A Most Wanted Man,2014-07-25,Roadside Attractions,Thriller/Suspense,R,17237855,2109896,tt1972571
Begin Again,2014-06-27,Weinstein Co.,Drama,R,16170632,1979269,tt1980929
Tyler Perry's The Single Moms Club,2014-03-14,Lionsgate,Comedy,PG-13,15995891,1957881,
Devil's Due,2014-01-17,20th Century Fox,Horror,R,15821461,1936531,tt2752758
And So It Goes,2014-07-25,Clarius Entertainment,Comedy,PG-13,15160801,1855667,tt2465146
The Woman in Black 2: Angel of Death,2015-01-02,Relativity,Horror,PG-13,15027415,1839340,tt2339741
Step Up All In,2014-08-08,Lionsgate,Drama,PG-13,14904384,1824282,tt2626350
Beyond the Lights,2014-11-14,Relativity,Drama,PG-13,14564709,1782706,tt3125324
America: Imagine a World Without Her,2014-06-27,Lionsgate,Documentary,PG-13,14444502,1767992,
Paranormal Activity: The Marked Ones,2014-01-03,Paramount Pictures,Horror,R,14118761,1728122,tt2473682
Left Behind,2014-10-03,Freestyle Releasing,Thriller/Suspense,PG-13,14019924,1716024,tt2467046
Sin City: A Dame to Kill For,2014-08-22,Weinstein Co.,Action,R,13757804,1683941,tt0458481
Labor Day,2014-01-31,Paramount Pictures,Drama,PG-13,13371528,1636661,tt1967545
The Secret Life of Walter Mitty,2013-12-25,20th Century Fox,Comedy,PG,12765884,1562531,tt0359950
Winter's Tale,2014-02-14,Warner Bros.,Drama,PG-13,12600231,1542255,tt1837709
Dallas Buyers Club,2013-11-01,Focus Features,Drama,R,10997442,1346076,tt0790636
Belle,2014-05-02,Fox Searchlight,Drama,PG,10726630,1312929,tt2404181
The Drop,2014-09-12,Fox Searchlight,Drama,R,10724389,1312654,tt1600196
Nebraska,2013-11-15,Paramount Pictures,Drama,R,10651616,1303747,tt1821549
Magic in the Moonlight,2014-07-25,Sony Pictures Classics,Romantic Comedy,PG-13,10534510,1289413,tt2870756
Sabotage,2014-03-28,Open Road,Action,R,10508518,1286232,tt1742334
Moms' Night Out,2014-05-09,Sony Pictures,Comedy,PG,10429707,1276585,tt3014666
Big Eyes,2014-12-25,Weinstein Co.,Drama,PG-13,9924025,1214690,tt1126590
P.K.,2014-12-19,UTV Communications,Comedy,Not Rated,9896123,1211275,tt0084460
The Quiet Ones,2014-04-25,Lionsgate,Horror,PG-13,8509867,1041599,tt2235779
Island of Lemurs: Madagascar,2014-04-04,Warner Bros.,Documentary,G,8482629,1038265,tt3231010
Legends of Oz: Dorothy's Return,2014-05-09,Clarius Entertainment,Adventure,PG,8462347,1035782,tt0884726
Foxcatcher,2014-11-14,Sony Pictures Classics,Drama,R,7942789,972189,tt1100089
Vampire Academy,2014-02-07,Weinstein Co.,Drama,PG-13,7791979,953730,tt1686821
Bad Words,2014-03-14,Focus Features,Comedy,R,7779614,952217,tt2170299
Cantinflas,2014-08-29,Pantelion Films,Drama,PG,6382924,781263,tt3005242
Jerusalem,2013-09-13,National Geographic Entertainment,Documentary,Not Rated,6304112,771617,tt0116696
Meet the Mormons,2014-10-10,Purdie Distribution,Documentary,PG,6028558,737889,tt4003774
Whiplash,2014-10-10,Sony Pictures Classics,Drama,R,5901617,722352,tt2582802
Hubble 3D,2010-03-19,Warner Bros.,Documentary,G,5754866,704389,tt1433813
47 Ronin,2013-12-25,Universal,Action,PG-13,5674795,694589,tt1335975
Cesar Chavez,2014-03-28,Lionsgate,Drama,PG-13,5571497,681945,tt1621046
Inside Llewyn Davis,2013-12-06,CBS Films,Drama,R,5490231,671998,tt2042568
The Skeleton Twins,2014-09-12,Lionsgate/Roadside Attractions,Drama,R,5284309,646794,tt1571249
Journey to the South Pacific,2013-11-27,MacGillivray Freeman Films,Documentary,G,5238809,641225,tt3195742
The Wind Rises,2013-11-08,Walt Disney,Drama,PG-13,5201879,636704,tt2013293
Grudge Match,2013-12-25,Warner Bros.,Comedy,PG-13,4971780,608541,tt1661382
The Interview,2014-12-25,Sony Pictures,Comedy,R,4960726,607188,tt2788710
Walking with Dinosaurs,2013-12-20,20th Century Fox,Adventure,PG,4731936,579184,tt1762399
Snowpiercer,2014-06-27,RADiUS-TWC,Thriller/Suspense,R,4563029,558510,tt1706620
The Railway Man,2014-04-11,Weinstein Co.,Drama,R,4438438,543260,tt2058107
Dear White People,2014-10-17,Lionsgate/Roadside Attractions,Comedy,R,4376622,535694,tt2235108
The Lunchbox,2014-02-28,Sony Pictures Classics,Drama,PG,4231500,517931,tt2350496
My Old Lady,2014-09-10,Cohen Media Group,Comedy,PG-13,4001608,489792,tt2908856
Fading Gigolo,2014-04-18,Alchemy,Comedy,R,3747833,458731,tt2258345
Ida,2014-05-02,Music Box Films,Drama,PG-13,3704612,453440,tt2718492
Calvary,2014-08-01,Fox Searchlight,Black Comedy,R,3600006,440637,tt2234003
Wish I Was Here,2014-07-18,Focus Features,Comedy,R,3591299,439571,tt2870708
What If,2014-08-08,CBS Films,Romantic Comedy,PG-13,3493000,427539,tt1486834
The Grand Seduction,2014-05-30,Entertainment One,Comedy,PG-13,3409304,417295,tt2319580
Veronica Mars,2014-03-14,Warner Bros.,Drama,PG-13,3322127,406625,tt2771372
Mommy,2015-01-23,Roadside Attractions,Drama,R,3301056,404046,tt3612616
Before I Go to Sleep,2014-10-31,Clarius Entertainment,Thriller/Suspense,R,3242457,396873,tt1726592
Rosewater,2014-11-14,Open Road,Drama,R,3128941,382979,tt2752688
Obvious Child,2014-06-06,A24,Romantic Comedy,R,3122616,382205,tt2910274
Thor: The Dark World,2013-11-08,Walt Disney,Adventure,PG-13,2910814,356280,tt1981115
The Trip to Italy,2014-08-15,IFC Films,Comedy,Not Rated,2873758,351745,tt2967006
The Admiral: Roaring Currents,2014-08-08,CJ Entertainment,Action,Not Rated,2830989,346510,
The Identical,2014-09-05,Freestyle Releasing,Drama,PG,2827666,346103,tt2326574
The Fluffy Movie,2014-07-25,Open Road,Concert/Performance,PG-13,2827393,346070,tt3532608
Kirk Cameron's Saving Christmas,2014-11-14,Samuel Goldwyn Films,Multiple Genres,PG,2778297,340060,
The Good Lie,2014-10-03,Warner Bros.,Drama,PG-13,2716989,332556,tt2652092
The Pyramid,2014-12-05,20th Century Fox,Horror,R,2706405,331261,tt2799166
The Raid 2,2014-03-28,Sony Pictures Classics,Action,R,2625803,321395,tt2265171
Under the Skin,2014-04-04,A24,Thriller/Suspense,R,2605039,318854,tt1441395
Bang Bang,2014-10-02,FIP,Action,Not Rated,2581138,315928,tt2905838
Kick,2014-07-25,UTV Communications,Action,Not Rated,2472695,302655,tt2372222
Kill the Messenger,2014-10-17,Focus Features,Thriller/Suspense,R,2450846,299981,tt1216491
The Book Thief,2013-11-08,20th Century Fox,Drama,PG-13,2396662,293349,tt0816442
2014 Oscar Shorts,2014-01-31,ShortsHD,Multiple Genres,Not Rated,2357890,288603,
Tyler Perry's A Madea Christmas,2013-12-13,Lionsgate,Comedy,PG-13,2316077,283485,tt2609758
Captain Phillips,2013-10-11,Sony Pictures,Drama,PG-13,2301683,281723,tt1535109
The Homesman,2014-11-14,Roadside Attractions,Western,R,2272797,278188,tt2398231
CitizenFour,2014-10-24,RADiUS-TWC,Documentary,R,2263209,277014,tt4044364
Love is Strange,2014-08-22,Sony Pictures Classics,Drama,R,2262203,276891,tt2639344
2 States,2014-04-18,UTV Communications,Drama,Not Rated,2238175,273950,tt2372678
American Sniper,2014-12-25,Warner Bros.,Drama,R,2229288,272862,tt2179136
Le Week-End,2014-03-14,Music Box Films,Drama,R,2225098,272349,tt2392326
Cloudy with a Chance of Meatballs 2,2013-09-27,Sony Pictures,Adventure,PG,2179330,266747,tt1985966
Words and Pictures,2014-05-23,Roadside Attractions,Romantic Comedy,PG-13,2171257,265759,tt2380331
Gloria,2014-01-24,Roadside Attractions,Drama,R,2110357,258305,tt0080798
Trailer Park Boys 3: Don't Legalize It,2014-09-05,Screen Media Films,Comedy,Not Rated,2090607,255888,
Selma,2014-12-25,Paramount Pictures,Drama,PG-13,2068453,253176,tt1020072
The Immigrant,2014-05-16,RADiUS-TWC,Drama,R,2013456,246445,tt1951181
Dr. Cabbie,2014-11-26,Eros Entertainment,Comedy,G,1986209,243110,tt2831404
The Great Beauty,2013-11-15,Janus Films,Drama,Not Rated,1934973,236838,tt2358891
Only Lovers Left Alive,2014-04-11,Sony Pictures Classics,Drama,R,1876685,229704,tt1714915
Tusk,2014-09-19,A24,Horror,R,1821983,223008,tt3099498
Tim's Vermeer,2014-01-31,Sony Pictures Classics,Documentary,PG-13,1670806,204505,tt3089388
Persecuted,2014-07-18,"One Media, LLC",Drama,PG-13,1557494,190635,tt1761005
Fed Up,2014-05-09,RADiUS-TWC,Documentary,PG,1538898,188359,tt2381335
Finding Vivian Maier,2014-03-28,IFC Films,Documentary,Not Rated,1509131,184716,tt2714900
The Tale of the Princess Kaguya,2014-10-17,GKIDS,Drama,PG,1506975,184452,tt2576852
Inherent Vice,2014-12-12,Warner Bros.,Drama,R,1462978,179067,tt1791528
Pride,2014-09-26,CBS Films,Drama,R,1446634,177066,tt3169706
Locke,2014-04-25,A24,Thriller/Suspense,R,1370646,167765,tt2692904
Gimme Shelter,2014-01-24,Roadside Attractions,Drama,PG-13,1359910,166451,tt0065780
Mandela: Long Walk to Freedom,2013-11-29,Weinstein Co.,Drama,PG-13,1261498,154406,tt2304771
Singham Returns,2014-08-15,Eros Entertainment,Action,Not Rated,1226581,150132,tt2309764
Repentance,2014-02-28,Codeblack Entertainment,Thriller/Suspense,R,1189612,145607,tt0093754
Jai Ho,2014-01-24,Eros Entertainment,Action,Not Rated,1187266,145320,tt1188982
The Past,2013-12-20,Sony Pictures Classics,Drama,PG-13,1175459,143875,tt2404461
The Remaining,2014-09-05,Sony Pictures,Horror,PG-13,1169603,143158,tt2714380
Force Majeure,2014-10-24,Magnolia Pictures,Drama,R,1158170,141758,tt3630276
Hector and the Search for Happiness,2014-10-03,Relativity,Romantic Comedy,R,1124445,137630,tt1626146
The Invisible Woman,2013-12-25,Sony Pictures Classics,Drama,R,1116507,136659,tt1700845
The Rover,2014-06-13,A24,Drama,R,1109199,135764,tt2345737
50 to 1,2014-03-21,Ten Furlongs,Drama,PG-13,1069454,130900,tt1777595
Khoobsurat,2014-09-19,UTV Communications,Romantic Comedy,Not Rated,1055593,129203,tt3554418
Haider,2014-10-02,UTV Communications,Drama,Not Rated,1048143,128291,tt3390572
Third Person,2014-06-20,Sony Pictures Classics,Drama,R,1019038,124729,tt2343793
Stalingrad,2014-02-28,Sony Pictures Classics,Drama,R,1013945,124105,tt0108211
Enemy,2014-03-14,A24,Thriller/Suspense,R,1005824,123111,tt2316411
The Song,2014-09-26,Samuel Goldwyn Films,Drama,PG-13,1005691,123095,tt2517044
Awake: The Life of Yogananda,2014-10-10,Counterpoint Films & Self-Realization Fellowship,Documentary,PG,1001998,122643,tt3741860
Mr. Turner,2014-12-19,Sony Pictures Classics,Drama,R,962818,117847,tt2473794
M's negro que la noche,2014-09-26,Lionsgate,Thriller/Suspense,R,870063,106494,
Particle Fever,2014-03-05,Abramorama Films,Documentary,Not Rated,869838,106467,tt1385956
Free Birds,2013-11-01,Relativity,Comedy,PG,855955,104768,tt1621039
Atlas Shrugged: Who Is John Galt?,2014-09-12,Atlas Distribution,Drama,PG-13,851690,104246,tt2800038
Born to be Wild 3D,2011-04-08,Warner Bros.,Documentary,G,842817,103159,
Saw,2004-10-29,Lionsgate,Horror,R,815324,99794,tt0387564
Life Itself,2014-07-04,Magnolia Pictures,Documentary,R,810454,99198,tt2382298
Last Vegas,2013-11-01,CBS Films,Comedy,PG-13,801849,98145,tt1204975
Alone Yet Not Alone,2014-06-13,Hammond Entertainment,Drama,PG-13,795755,97399,tt1986769
Delivery Man,2013-11-22,Walt Disney,Comedy,PG-13,793379,97108,tt2387559
Nymphomaniac: Volume I,2014-03-21,Magnolia Pictures,Drama,Not Rated,785896,96192,
Breakup Buddies,2014-10-03,China Lion Film Distribution,Comedy,Not Rated,774961,94854,tt3890264
Palo Alto,2014-05-09,TriBeca Films,Drama,R,767732,93969,tt2479800
Under the Sea 3D,2009-02-13,Warner Bros.,Documentary,G,746627,91386,tt1020876
The Babadook,2014-11-28,IFC Midnight,Horror,Not Rated,742092,90831,tt2321549
Space Station,2002-04-19,IMAX Films,Documentary,Not Rated,728699,89192,tt2369317
Land Ho!,2014-07-11,Sony Pictures Classics,Comedy,R,727430,89036,tt3283556
Yves Saint Laurent,2014-06-25,Weinstein Co.,Drama,R,723593,88567,tt2707858
Holiday,2014-06-06,Reliance Entertainment,Thriller/Suspense,Not Rated,706893,86523,tt2556308
"Men, Women and Children",2014-10-01,Paramount Pictures,Comedy,R,705908,86402,
Frankie and Alice,2014-04-04,CODEBLACK Films/Lionsgate,Drama,R,695876,85174,
To the Arctic 3D,2012-04-20,Warner Bros.,Documentary,G,674932,82611,tt2073128
Blue Jasmine,2013-07-26,Sony Pictures Classics,Comedy,PG-13,660237,80812,tt2334873
Jodorowsky's Dune,2014-03-21,Sony Pictures Classics,Documentary,PG-13,646512,79132,tt1935156
Frank,2014-08-15,Magnolia Pictures,Comedy,R,645186,78970,tt1605717
Finding Fanny,2014-09-12,FIP,Romantic Comedy,Not Rated,623229,76282,tt3142688
Walking the Camino: Six Ways to Santiago,2013-09-06,Future Educational Films,Documentary,Not Rated,601934,73676,tt2406422
The Signal,2014-06-13,Focus Features,Thriller/Suspense,PG-13,600896,73549,tt2910814
The Disappearance of Eleanor Rigby,2014-09-12,Weinstein Co.,Drama,R,587152,71866,tt3729920
Kochadaiiyaan,2014-04-11,Eros Entertainment,Action,Not Rated,583172,71379,tt2339505
Omar,2014-02-21,Adopt Films,Thriller/Suspense,Not Rated,583000,71358,tt2852406
The Saratov Approach,2013-10-09,Purdie Distribution,Thriller/Suspense,PG-13,573874,70241,tt2887322
Back in Time,2014-12-12,China Lion Film Distribution,Drama,Not Rated,562523,68852,tt4284020
23 Blast,2014-10-24,Abramorama Films,Drama,PG-13,549185,67219,tt2304459
Forrest Gump,1994-07-06,Paramount Pictures,Drama,PG-13,540777,66190,tt0109830
Highway,2014-02-21,UTV Communications,Drama,Not Rated,529136,64765,tt2980794
Dom Hemingway,2014-04-02,Fox Searchlight,Comedy,R,523511,64077,tt2402105
The One I Love,2014-08-22,RADiUS-TWC,Romantic Comedy,R,511635,62623,tt2756032
On Any Sunday: The Next Chapter,2014-11-07,Hannover House,Documentary,PG,509916,62413,tt2872570
Tracks,2014-09-19,Weinstein Co.,Drama,PG-13,509815,62400,tt2167266
The Two Faces of January,2014-09-26,Magnolia Pictures,Thriller/Suspense,PG-13,507463,62112,tt1976000
The Captive,2014-12-12,A24,Thriller/Suspense,R,450000,55079,tt2326612
In Secret,2014-02-21,Roadside Attractions,Thriller/Suspense,R,444179,54367,tt0409379
Laggies,2014-10-24,A24,Romantic Comedy,R,440338,53896,tt2034031
Last Days in Vietnam,2014-09-05,American Experience/PBS Films,Documentary,Not Rated,440031,53859,tt3279124
La petite reine,2014-06-13,Entertainment One,Drama,Not Rated,430527,52696,tt0353876
Beijing Love Story,2014-02-14,China Lion Film Distribution,Drama,Not Rated,423598,51847,tt3505950
Cold in July,2014-05-23,IFC Films,Thriller/Suspense,R,423223,51802,tt1179031
But Always,2014-09-05,China Lion Film Distribution,Drama,Not Rated,417558,51108,tt3906444
The German Doctor,2014-04-25,Samuel Goldwyn Films,Drama,PG-13,414912,50784,tt1847746
Ek Villain,2014-06-27,Eros Entertainment,Action,Not Rated,414116,50687,
The Face of Love,2014-03-07,IFC Films,Drama,PG-13,385069,47132,tt1839642
Humpty Sharma Ki Dulhania,2014-07-11,Reliance Big Pictures,Drama,Not Rated,380011,46512,tt3678938
Jackass Presents: Bad Grandpa,2013-10-25,Paramount Pictures,Comedy,R,377575,46214,tt3063516
Joe,2014-04-11,Roadside Attractions,Drama,R,373375,45700,tt2382396
Women Who Flirt,2014-11-26,China Lion Film Distribution,Comedy,Not Rated,372143,45549,tt3313908
The Guest,2014-09-17,Picturehouse,Thriller/Suspense,R,369911,45276,tt2980592
When Comedy Went to School,2013-08-02,International Film Circuit,Documentary,Not Rated,365548,44742,tt2167056
Glen Campbell: I'll Be Me,2014-10-24,Area 23a,Documentary,PG,365522,44739,tt2049586
Le Chef,2014-06-20,Cohen Media Group,Comedy,PG-13,342667,41942,tt1911553
Venus in Fur,2014-06-20,IFC Films,Drama,Not Rated,342183,41882,tt2406252
Jimi: All is By My Side,2014-09-26,XLrater Media,Drama,R,340911,41727,tt2402085
